recyclerview-fastscroll-1.0.18	com/simplecityapps/recyclerview_fastscroll
recyclerview-fastscroll-2.0.1	com/simplecityapps/recyclerview_fastscroll
recyclical-1.1.1	com/afollestad/recyclical
remotepreferences-0.5	com/crossbowffs/remotepreferences
retrofit-2.2.0	retrofit2
retrofit-2.4.0	retrofit2
retrofit-2.5.0	retrofit2
retrofit-2.6.4	retrofit2
retrofit-2.9.0	retrofit2
retrofit2-kotlin-coroutines-adapter-0.9.2	com/jakewharton/retrofit2/adapter/kotlin/coroutines
retrofit2-kotlinx-serialization-converter-0.8.0	com/jakewharton/retrofit2/converter/kotlinx/serialization
richeditor-android-2.0.0	jp/wasabeef/richeditor
rome-opml-1.15.0	com/rometools/opml
rssparser-2.1.2	com/prof/rssparser
rxandroid-2.0.1	io/reactivex/android
rxandroid-2.1.1	io/reactivex/android
rxandroid-3.0.0	io/reactivex/rxjava3/android
rxbinding-appcompat-3.1.0	com/jakewharton/rxbinding3/appcompat
rxbinding-material-3.1.0	com/jakewharton/rxbinding3/material
rxbinding-recyclerview-3.1.0	com/jakewharton/rxbinding3/recyclerview
rxbinding-swiperefreshlayout-3.1.0	com/jakewharton/rxbinding3/swiperefreshlayout
rxbinding-viewpager-3.1.0	com/jakewharton/rxbinding3/viewpager
rxjava-1.3.0	rx
rxjava-2.0.9	io/reactivex
rxjava-2.2.16	io/reactivex
rxjava-2.2.17	io/reactivex
rxjava-2.2.19	io/reactivex
rxjava-2.2.20	io/reactivex
rxjava-2.2.21	io/reactivex
rxjava-2.2.9	io/reactivex
rxjava-3.0.10	io/reactivex/rxjava3
rxjava-3.0.4	io/reactivex/rxjava3
rxjava-3.0.7	io/reactivex/rxjava3
rxjava-3.0.8	io/reactivex/rxjava3
rxkotlin-2.4.0	io/reactivex/rxkotlin
rxkprefs-1.2.5	com/afollestad/rxkprefs
rxrelay-2.1.1	com/jakewharton/rxrelay2
ScalingImageView-1.3.0	de/markusfisch/android/scalingimageview/widget
SearchPreference-1.0-SNAPSHOT	com/bytehamster
sectioned-recyclerview-0.5.0	com/afollestad/sectionedrecyclerview
sentry-android-5.0.1	io/sentry/android
sentry-android-5.1.2	io/sentry/android
sentry-android-core-2.2.0	io/sentry/android/core
shapetextdrawable-1.0.0	com/github/stephenvinouze/shapetextdrawable
Sheriff-1.0.0	info/isuru/sheriff
shimmer-0.5.0	com/facebook/shimmer
ShimmerRecyclerView-0.4.1	com/todkars/shimmer
slf4j-1.7.24-api	org/slf4j
slf4j-1.7.30-android	org/slf4j/impl
slf4j-1.7.30-api	org/slf4j
snake-yaml-1.18-android	org/yaml/snakeyaml
solarpositioning-0.0.9	net/e175/klaus/solarpositioning
sparkbutton-4.1.0	at/connyduck/sparkbutton
spectrum-0.7.1	com/thebluealliance/spectrum
sqliteassethelper-2.0.1	com/readystatesoftware/sqliteasset
storage-chooser-2.0.4.2	com/codekidlabs/storagechooser
streamsupport-cfuture-1.7.2	java8/util/concurrent
subsampling-scale-image-view-3.10.0	com/davemorrissey/labs/subscaleview
sugar-1.3	com/orm
swipy-1.2.3	com/orangegangsters/github/swipyrefreshlayout/library
